,City,Country,Cloudiness,Humidity,Latitude,Longitude,Temperature,Wind Speed,Date
0,Rikitea,PF,100,92,-23.12,-134.97,75.65,10.63,1572897791
1,Butaritari,KI,32,70,3.07,172.79,83.97,9.44,1572897792
2,Busselton,AU,53,72,-33.64,115.35,50.0,3.09,1572897626
3,East London,ZA,85,81,-33.02,27.91,65.21,14.74,1572897710
4,Chokurdakh,RU,95,91,70.62,147.9,-1.14,2.51,1572897796
5,Castro,CL,28,74,-42.48,-73.76,46.83,7.45,1572897625
6,Shelburne,CA,40,54,44.08,-80.2,54.0,26.4,1572897799
7,Vardo,US,1,30,39.62,-77.74,60.01,13.87,1572897800
8,Hobart,AU,20,70,-42.88,147.33,45.0,5.82,1572897621
9,Wanning,AT,75,81,48.64,13.53,52.0,9.17,1572897715
10,Punta Arenas,CL,90,76,-53.16,-70.91,48.2,41.38,1572897803
11,Ulladulla,AU,90,87,-35.36,150.48,55.0,5.82,1572897685
12,Avera,US,40,55,33.19,-82.53,66.2,4.7,1572897806
13,Nanortalik,GL,100,81,60.14,-45.24,36.36,48.0,1572897807
14,Yellowknife,CA,75,78,62.45,-114.38,17.01,6.93,1572897808
15,Albany,US,90,37,42.65,-73.75,51.8,11.41,1572897619
16,Karratha,AU,76,45,-20.74,116.85,78.73,16.44,1572897811
17,Saskylakh,RU,84,95,71.97,114.09,-12.79,6.89,1572897665
18,Quatre Cocos,MU,40,88,-20.21,57.76,73.99,11.41,1572897813
19,Mar del Plata,AR,95,24,-46.43,-67.52,61.47,29.55,1572897814
20,New Norfolk,AU,20,70,-42.78,147.06,45.0,5.82,1572897816
21,Mantua,IT,40,93,45.16,10.79,59.0,4.7,1572897637
22,Tiksi,RU,94,90,71.64,128.87,-5.88,4.83,1572897818
23,Puerto Ayora,EC,75,61,-0.74,-90.35,78.8,12.75,1572897820
24,Hilo,US,1,65,19.71,-155.08,82.4,4.7,1572897821
25,Vila Velha,BR,20,62,-3.71,-38.6,86.0,14.99,1572897822
26,Coquimbo,CL,1,79,-29.95,-71.34,57.79,24.72,1572897823
27,Jamestown,AU,5,82,-33.21,138.6,44.82,2.8,1572897825
28,Broken Hill,AU,0,70,-31.97,141.45,48.2,3.36,1572897826
29,Bluff,AU,0,39,-23.58,149.07,77.43,9.44,1572897623
30,Casablanca,MA,20,82,33.6,-7.62,66.2,6.93,1572897638
31,Amapa,HN,40,62,15.09,-87.97,86.0,4.7,1572897829
32,Kieta,PG,74,77,-6.22,155.63,81.01,3.76,1572897831
33,Manggar,ID,100,74,-2.88,108.27,83.73,13.6,1572897832
34,Pekin,US,90,57,40.57,-89.64,54.0,10.29,1572897833
35,Batagay,RU,100,96,67.65,134.64,-4.09,2.13,1572897834
36,Veraval,FR,75,81,49.65,0.71,48.2,14.99,1572897836
37,Mabopane,ZA,20,41,-25.51,28.07,78.01,10.29,1572897837
38,Paralimni,GR,0,74,40.99,23.67,63.0,2.1,1572897838
39,Faanui,PF,8,79,-16.48,-151.75,79.86,6.06,1572897840
40,Tarime,TZ,20,73,-1.35,34.38,75.2,3.44,1572897841
41,Dingle,PH,21,87,11.0,122.67,75.24,4.45,1572897842
42,Atar,MR,82,22,20.52,-13.05,81.32,8.5,1572897669
43,Along,IN,0,88,28.17,94.8,56.52,4.12,1572897844
44,Vaini,IN,86,90,15.34,74.49,70.0,1.57,1572897846
45,Pandamatenga,BW,3,37,-18.54,25.64,78.46,6.8,1572897847
46,Ushuaia,AR,75,96,-54.81,-68.31,48.2,25.28,1572897848
47,Padang,ID,64,91,-0.92,100.36,64.09,2.04,1572897850
48,Sorong,ID,100,99,-0.86,131.25,71.82,1.9,1572897851
49,Luderitz,NA,100,93,-26.65,15.16,59.0,23.04,1572897649
50,Launceston,AU,46,74,-41.43,147.14,39.99,2.24,1572897627
51,Port Macquarie,AU,75,72,-31.43,152.91,61.0,2.24,1572897656
52,Carnarvon,ZA,1,28,-30.97,22.13,68.59,12.17,1572897856
53,Lithakia,GR,40,100,37.72,20.83,60.8,9.69,1572897857
54,Flinders,AU,90,87,-34.58,150.85,59.0,5.82,1572897858
55,Westerland,NL,90,100,52.89,4.93,51.01,6.93,1572897860
56,Ekhabi,RU,79,91,53.51,142.97,36.32,11.99,1572897861
57,Jalu,LY,0,35,29.03,21.55,73.8,10.58,1572897862
58,Tokur,RU,100,67,53.13,132.9,17.55,1.74,1572897863
59,Ornskoldsvik,SE,0,92,63.29,18.72,15.8,4.7,1572897865
60,Rome,IT,40,77,41.89,12.48,66.2,12.75,1572897587
61,Biak,ID,97,73,-0.91,122.88,80.71,9.06,1572897867
62,Tasiilaq,GL,100,90,65.61,-37.64,24.08,17.09,1572897623
63,Georgetown,GY,75,88,6.8,-58.16,78.8,4.7,1572897632
64,Hasaki,JP,0,100,35.73,140.83,41.0,2.24,1572897694
65,Coihaique,CL,75,84,-45.58,-72.07,53.6,9.17,1572897872
66,Romanovo,RU,100,90,56.49,40.39,44.1,15.35,1572897873
